,wavelength_micron,orientation_av_emissivity_bulk
5476,0.25933090352161137,0.006185708718776932
5477,0.25934874656452367,0.006185683458205183
5478,0.2593665920629558,0.006185658214458746
5479,0.2593844400174147,0.006185632987536709
5480,0.2594022904284073,0.006185607777438032
5481,0.259420143296441,0.006185582584161744
5482,0.259437998622023,0.00618555740770686
5483,0.25945585640566077,0.006185532248072384
5484,0.25947371664786206,0.006185507105257353
5485,0.2594915793491345,0.006185481979260731
5486,0.2595094445099861,0.006185456870081586
5487,0.2595273121309247,0.006185431777718925
5488,0.2595451822124587,0.006185406702171738
5489,0.2595630547550962,0.006185381643439038
5490,0.25958092975934594,0.006185356601519892
5491,0.259598807225716,0.0061853315764132345
5492,0.2596166871547157,0.006185306568118157
5493,0.2596345695468538,0.006185281576633648
5494,0.2596524544026392,0.006185256601958702
5495,0.259670341722581,0.006185231644092365
5496,0.2596882315071886,0.006185206703033664
5497,0.25970612375697144,0.006185181778781611
5498,0.25972401847243903,0.006185156871335205
5499,0.25974191565410115,0.006185131980693476
5500,0.2597598153024676,0.006185107106855475
5501,0.25977771741804845,0.006185082249820154
5502,0.2597956220013538,0.006185057409586615
5503,0.2598135290528939,0.006185032586153848
5504,0.2598314385731789,0.006185007779520859
5505,0.25984935056272,0.006184982989686696
5506,0.2598672650220276,0.006184958216650379
5507,0.25988518195161253,0.006184933460410909
5508,0.2599031013519858,0.006184908720967338
5509,0.25992102322365845,0.006184883998318681
5510,0.25993894756714186,0.006184859292463965
5511,0.2599568743829473,0.006184834603402184
5512,0.2599748036715864,0.006184809931132448
5513,0.25999273543357093,0.006184785275653701
5514,0.2600106696694126,0.006184760636964994
5515,0.26002860637962344,0.006184736015065374
5516,0.2600465455647156,0.006184711409953877
5517,0.26006448722520126,0.006184686821629513
5518,0.2600824313615928,0.006184662250091303
5519,0.2601003779744025,0.006184637695338257
5520,0.2601183270641437,0.006184613157369486
5521,0.2601362786313289,0.006184588636183924
5522,0.260154232676471,0.006184564131780656
5523,0.2601721892000831,0.006184539644158733
5524,0.26019014820267855,0.006184515173317145
5525,0.2602081096847706,0.006184490719254943
5526,0.2602260736468729,0.006184466281971151
5527,0.2602440400894991,0.0061844418614647855
5528,0.26026200901316293,0.00618441745773496
5529,0.26027998041837846,0.006184393070780617
5530,0.2602979543056597,0.0061843687006008525
5531,0.260315930675521,0.0061843443471946615
5532,0.26033390952847657,0.00618432001056111
5533,0.260351890865041,0.006184295690699224
5534,0.2603698746857291,0.006184271387608026
5535,0.26038786099105515,0.006184247101286575
5536,0.2604058497815349,0.006184222831733916
5537,0.260423841057683,0.006184198578949063
5538,0.2604418348200148,0.006184174342931058
5539,0.26045983106904563,0.006184150123678974
5540,0.260477829805291,0.006184125921191777
5541,0.26049583102926654,0.006184101735468605
5542,0.26051383474148815,0.006184077566508444
5543,0.2605318409424716,0.006184053414310303
5544,0.26054984963273314,0.006184029278873319
5545,0.26056786081278904,0.00618400516019646
5546,0.2605858744831555,0.0061839810582787645
5547,0.2606038906443492,0.006183956973119313
